Date,USD,VIX
1/2/1990,399.00,17.24
1/3/1990,395.00,18.19
1/4/1990,396.50,19.22
1/5/1990,405.00,20.11
1/8/1990,404.60,20.26
1/9/1990,403.45,22.20
1/10/1990,409.10,22.44
1/11/1990,412.10,20.05
1/12/1990,416.25,24.64
1/15/1990,415.60,26.34
1/16/1990,412.75,24.18
1/17/1990,410.40,24.16
1/18/1990,413.40,24.34
1/19/1990,408.65,22.50
1/22/1990,406.00,26.70
1/23/1990,408.25,24.72
1/24/1990,420.75,25.39
1/25/1990,415.65,25.63
1/26/1990,418.00,26.28
1/29/1990,418.75,26.44
1/30/1990,418.15,27.25
1/31/1990,415.05,25.36
2/1/1990,415.80,24.87
2/2/1990,417.95,24.32
2/5/1990,423.00,24.54
2/6/1990,421.05,24.69
2/7/1990,423.75,24.29
2/8/1990,418.00,23.77
2/9/1990,415.50,23.69
2/12/1990,418.85,24.38
2/13/1990,418.05,23.76
2/14/1990,414.60,22.05
2/15/1990,416.65,19.71
2/16/1990,416.50,20.78
2/19/1990,416.50,20.78
2/20/1990,419.95,22.78
2/21/1990,420.00,23.89
2/22/1990,417.65,22.54
2/23/1990,415.85,23.69
2/26/1990,411.30,23.56
2/27/1990,407.55,22.69
2/28/1990,407.70,21.99
3/1/1990,406.30,21.90
3/2/1990,405.05,21.34
3/5/1990,403.20,22.03
3/6/1990,405.35,20.55
3/7/1990,400.50,19.10
3/8/1990,400.70,19.74
3/9/1990,399.30,20.30
3/12/1990,401.25,20.07
3/13/1990,397.25,21.05
3/14/1990,398.75,19.65
3/15/1990,399.50,18.81
3/16/1990,400.65,17.62
3/19/1990,402.10,18.29
3/20/1990,399.65,19.06
3/21/1990,392.00,20.10
3/22/1990,392.00,22.74
3/23/1990,393.50,20.46
3/26/1990,370.25,19.59
3/27/1990,368.00,21.01
3/28/1990,372.00,19.77
3/29/1990,371.50,18.46
3/30/1990,368.50,19.73
4/2/1990,368.40,22.84
4/3/1990,375.00,20.44
4/4/1990,374.25,22.03
4/5/1990,378.40,21.21
4/6/1990,377.70,21.76
4/9/1990,376.70,22.30
4/10/1990,375.20,21.69
4/11/1990,374.50,17.73
4/12/1990,375.50,19.80
4/13/1990,375.50,19.80
4/16/1990,375.50,20.75
